1,Transknight
6,TransKnight
7,TransKnight
8,TransKnight
9,TransKnight
11,Foema
16,Foema
17,Foema
18,Foema
19,Foema
21,Beast_Master
22,Wolf_Master
23,Bear_Master
24,Astaroth
25,Titan
26,Beast_Master
27,Beast_Master
28,Beast_Master
29,Beast_Master
31,Hunter
32,Evilator
36,Hunter
37,Hunter
38,Hunter
39,Hunter
41,Transknight
42,Foema
43,Beast_Master
44,Hunter
51,Ruty
52,Town_Watcher
53,Tera
54,Compounder
55,Ailine
56,Akada
57,Premium_Trader_Nell
58,Smith
59,Merchant
60,Guard
61,Elder_Foema
62,Elder(helmet)
63,Arch_Master
64,Trader_Arnold
65,Shiner's_face(Type_A)
66,Shiner's_face(Type_B)
67,Shiner's_face(Type_C)
68,Tiny
100,Steel_Helmet
101,Steel-Armor
102,Steel_Pants
103,Steel_Gloves
104,Steel_Boots
105,Shell_Robe(helmet)
106,Shell_Robe(Tunic)
107,Shell_Robe(Skirt)
108,Shell_Robe(Gloves)
109,Shell_Robe(Boots)
110,Casting_Robe(helmet)
111,Casting_Robe(Tunic)
112,Casting_Robe(Pants)
113,Casting_Robe(Gloves)
114,Casting_Robe(Boots)
115,Artisan's_Helmet
116,Artisan's_Breastplate
117,Artisan's_Pants
118,Artisan's_Gloves
119,Artisan's_Boots
120,Midas_Cap
121,Midas_Coat
122,Midas_Pants
123,Midas_Gloves
124,Midas_Boots
125,Guard_leader_Helmet
126,Guard_leader_Breastplate
127,Guard_leader_Pants
128,Guard_leader_Gloves
129,Guard_leader_Boots
130,Guard_leader_Helmet
131,Guard_leader_Breastplate
132,Arch_Helmet
133,Arch_Breastplate
134,Arch_Pants
135,Arch_Gloves
136,Arch_Boots
137,Arnold_Helmet
138,Arnold_Pants
139,Ruby_Helmet
140,Ruby_Breastplate
141,Ruby_Pants
142,Ruby_Gloves
143,Ruby_Boots
144,Watcher_Helmet
145,Watcher_Breastplate
146,Watcher_Pants
147,Watcher_Gloves
148,Watcher_Boots
149,Tera_Helmet
150,Tera_Breastplate
151,Tera_Pants
152,Tera_Gloves
153,Tera_Boots
154,Blue_king_Helmet
155,Blue_king_Breastplate
156,Blue_king_Pants
157,Blue_king_Gloves
158,Blue_king_Boots
159,Orange_King_Helmet
160,Orange_King_Breastplate
161,Orange_King_Pants
162,Orange_King_Gloves
163,Orange_King_Boots
164,Blue_Guard_Helmet
165,Blue_Guard_Breastplate
166,Blue_Guard_Pants
167,Blue_Guard_Gloves
168,Blue_GuardBoots
169,Orange_Guard_Helmet
170,Orange_Guard_Breastplate
